date,origin_country,origin_port,destination_port,cargo_type,cargo_quantity_mt,vessel_type,vessel_capacity_mt,distance_nm,voyage_days,bunker_price_usd_ton,port_congestion,weather_risk,port_waiting_hours,vessel_availability,procurement_price_usd_mt,freight_rate_usd_mt,charter_cost_usd,freight_demand
2024-03-15,Indonesia,Tanjung Bara,Kakinada,Iron Ore Pellets,151608,Post-Panamax,99642,3106,12.1,592.33,0.531,0.579,54.5,21,138.01,32.46,4921195.68,80.91
2024-03-15,Vietnam,Cam Pha,Paradip,Bauxite,37981,Panamax,77012,2118,8.6,741.55,0.454,0.724,39.5,14,46.35,31.53,1197540.93,44.87
2024-03-15,Vietnam,Vung Tau,Gangavaram,Wheat,205064,Panamax,76082,2479,10.1,454.75,0.443,0.598,44.7,24,181.01,29.07,5961210.48,97.43
2024-03-15,Brazil,Tubarão,Dhamra,Nickel Ore,239806,Ultramax,69585,8618,30.4,786.98,0.369,0.65,29.7,21,75.4,42.14,10105424.84,93.48
2024-03-15,South Africa,Richards Bay,Visakhapatnam,Rock Phosphate,169018,Ultramax,60760,4938,17.5,456.12,0.536,0.474,50.6,15,174.51,34.04,5753372.72,74.53
2024-03-16,South Africa,Durban,Kamarajar,Wheat,218950,Kamsarmax,77916,5547,23.2,569.97,0.741,0.583,66.2,15,252.79,34.48,7549396.0,89.5
2024-03-16,Colombia,Cartagena,Dhamra,Gypsum,105140,Newcastlemax,191883,9395,31.2,483.57,0.249,0.715,32.4,7,25.8,40.67,4276043.8,52.66
2024-03-16,Indonesia,Tanjung Bara,Chennai,Fertilizer,32652,Small Handy,12563,3229,12.4,505.84,0.675,0.291,67.9,39,319.76,30.72,1003069.44,65.99
2024-03-16,Australia,Dalrymple Bay,Gangavaram,Coking Coal,124401,Kamsarmax,76359,4161,16.1,713.84,0.267,0.218,6.2,27,121.79,28.93,3598920.93,83.59
2024-03-16,Australia,Hay Point,Krishnapatnam,Petcoke,152889,Small Handy,11049,4549,19.2,724.29,0.399,0.531,40.4,14,126.82,32.43,4958190.27,81.43
2024-03-16,Brazil,Santos,Chennai,Soybean,257930,Supramax,54094,8787,31.6,592.79,0.859,0.363,100.4,7,493.11,45.16,11648118.8,79.75
2024-03-16,Mozambique,Maputo,Paradip,Soybean,54408,Supramax,61058,4791,19.0,564.49,0.527,0.259,51.6,35,358.02,35.3,1920602.4,54.81
2024-03-16,Mozambique,Beira,Krishnapatnam,Corn,42119,Handysize,39428,5093,21.2,503.14,0.208,0.638,4.0,6,213.64,29.67,1249670.73,32.88
2024-03-16,South Africa,Saldanha Bay,Paradip,Thermal Coal,186083,Supramax,52045,5488,18.3,544.4,0.584,0.122,30.7,18,68.14,35.14,6538956.62,82.63
2024-03-16,South Africa,Saldanha Bay,Kamarajar,Corn,285569,VLOC,387739,5905,22.4,577.08,0.672,0.543,77.3,18,172.06,33.09,9449478.21,97.58
2024-03-16,USA,Houston,Krishnapatnam,Thermal Coal,151609,Small Handy,28978,9847,37.4,580.06,0.599,0.594,61.6,15,84.13,43.02,6522219.18,71.0
2024-03-16,Brazil,Santos,Gangavaram,Sugar,82643,Small Handy,26431,8730,34.1,617.54,0.268,0.276,36.9,4,487.3,37.17,3071840.31,39.87
2024-03-17,Colombia,Cartagena,Visakhapatnam,Fertilizer,280344,Post-Panamax,97558,9052,33.0,678.78,0.548,0.137,44.2,20,184.18,42.99,12051988.56,109.31
2024-03-17,Russia,Vostochny,Dhamra,Bauxite,88549,Newcastlemax,185388,3753,12.6,615.72,0.4,0.684,44.2,6,51.36,32.36,2865445.64,48.96
2024-03-17,Colombia,Puerto Bolivar,Dhamra,Rock Phosphate,123882,VLOC,317788,9081,30.7,477.73,0.395,0.372,47.7,26,109.81,34.3,4249152.6,72.68
2024-03-17,Brazil,Tubarão,Gangavaram,Thermal Coal,88197,Handysize,20174,8867,36.9,678.07,0.461,0.272,42.6,23,69.42,39.27,3463496.19,57.65
2024-03-17,Australia,Newcastle,Visakhapatnam,Rock Phosphate,36832,Handymax,52256,4167,17.2,677.56,0.477,0.321,48.5,17,170.39,30.82,1135162.24,41.05
2024-03-17,Canada,Vancouver,Kakinada,Gypsum,251659,Supramax,51819,9889,33.8,716.48,0.422,0.548,49.9,15,28.17,46.05,11588896.95,99.55
2024-03-17,South Africa,Richards Bay,Kakinada,Bauxite,145339,Capesize,134666,5320,16.6,593.09,0.211,0.415,43.4,38,46.43,31.93,4640674.27,100.26
2024-03-17,USA,New Orleans,Kakinada,Thermal Coal,194678,Post-Panamax,91119,9281,36.4,552.19,0.437,0.445,46.5,7,86.98,36.84,7171937.52,71.3
2024-03-17,Indonesia,Tanjung Bara,Paradip,Gypsum,264093,Handymax,58746,2618,10.8,775.72,0.763,0.46,61.8,14,21.87,34.33,9066312.69,94.36
2024-03-17,Colombia,Puerto Bolivar,Dhamra,Rock Phosphate,26438,Ultramax,63102,9110,34.9,727.92,0.429,0.408,26.6,18,160.77,42.66,1127845.08,32.78
2024-03-17,Canada,Quebec,Gangavaram,Nickel Ore,193139,Small Handy,26850,10964,44.5,573.39,0.536,0.561,55.5,20,82.98,43.9,8478802.1,90.84
2024-03-17,USA,New Orleans,Chennai,Gypsum,108753,Panamax,84192,9492,34.1,597.18,0.72,0.4,60.6,32,30.75,45.88,4989587.64,68.82
2024-03-17,Canada,Prince Rupert,Kamarajar,Manganese Ore,287464,VLOC,334288,10247,41.1,661.74,0.465,0.274,28.9,11,205.39,41.57,11949878.48,106.83
2024-03-17,South Africa,Durban,Dhamra,Limestone,157859,Handysize,39757,5331,21.3,600.04,0.441,0.64,37.0,32,48.58,36.46,5755539.14,85.85
2024-03-17,Vietnam,Vung Tau,Visakhapatnam,Fertilizer,125815,Small Handy,10704,2434,9.2,602.61,0.486,0.494,72.0,1,200.16,30.23,3803387.45,52.79
2024-03-18,Mozambique,Maputo,Visakhapatnam,Fertilizer,254721,Post-Panamax,87348,4947,17.1,752.9,0.45,0.546,55.0,25,219.06,35.42,9022217.82,109.32
2024-03-18,Russia,Vostochny,Kakinada,Petcoke,238058,Panamax,71041,3888,13.2,650.55,0.411,0.229,19.5,29,123.29,31.1,7403603.8,114.8
2024-03-18,Australia,Port Kembla,Kakinada,Manganese Ore,218731,VLOC,218494,4330,16.1,467.59,0.23,0.157,20.0,13,205.02,27.04,5914486.24,100.28
2024-03-18,Russia,Nakhodka,Gangavaram,Petcoke,36457,Capesize,150241,3660,14.2,515.67,0.25,0.663,25.6,2,139.04,28.01,1021160.57,35.55
2024-03-18,Canada,Vancouver,Paradip,Bauxite,187097,Small Handy,21423,9803,38.7,485.73,0.538,0.549,26.2,23,52.72,43.08,8060138.76,88.78
2024-03-18,Mozambique,Beira,Visakhapatnam,Fertilizer,79953,Small Handy,16950,4836,20.3,548.36,0.509,0.164,61.7,37,257.49,33.89,2709607.17,75.59
2024-03-18,Brazil,Itaguai,Kakinada,Iron Ore,127995,Post-Panamax,91026,8756,29.9,507.49,0.418,0.389,35.2,36,121.36,39.85,5100600.75,79.72
2024-03-18,Canada,Prince Rupert,Kamarajar,Soybean,11621,Post-Panamax,87823,10135,42.4,686.65,0.486,0.667,32.9,25,388.47,45.6,529917.6,40.64
2024-03-18,South Africa,Richards Bay,Kakinada,Coking Coal,41705,VLOC,287831,5290,19.7,585.82,0.653,0.083,82.1,30,171.91,32.35,1349156.75,65.55
2024-03-18,Indonesia,Tanjung Bara,Krishnapatnam,Thermal Coal,133936,VLOC,397264,3366,11.4,798.75,0.386,0.693,39.2,31,90.05,32.01,4287291.36,90.55
2024-03-18,Vietnam,Cam Pha,Chennai,Bauxite,252401,Capesize,130711,2563,9.6,617.61,0.755,0.412,51.6,40,48.25,28.75,7256528.75,110.05
2024-03-18,Mozambique,Beira,Kakinada,Rock Phosphate,278361,Capesize,179148,4849,16.3,713.45,0.493,0.678,56.7,12,171.4,33.56,9341795.16,104.53
2024-03-18,Australia,Port Hedland,Gangavaram,Fertilizer,240009,Handysize,20773,4535,17.2,695.38,0.403,0.458,45.2,38,300.89,31.22,7493080.98,112.48
2024-03-19,Australia,Gladstone,Dhamra,Corn,84803,Handymax,42650,3895,14.9,606.28,0.429,0.497,31.2,25,271.07,30.79,2611084.37,67.92
2024-03-19,Canada,Prince Rupert,Visakhapatnam,Gypsum,180282,Ultramax,64794,10033,39.7,781.01,0.457,0.271,46.2,12,31.41,44.61,8042380.02,73.42
2024-03-19,USA,Hampton Roads,Visakhapatnam,Nickel Ore,184782,Ultramax,69665,9627,39.3,717.57,0.546,0.328,68.6,33,67.08,42.76,7901278.32,90.27
2024-03-19,USA,New Orleans,Paradip,Wheat,184656,Handysize,29093,9013,37.0,520.88,0.222,0.265,35.3,4,187.06,36.51,6741790.56,71.13
2024-03-19,South Africa,Durban,Kakinada,Wheat,206778,Newcastlemax,183101,5334,17.2,696.76,0.111,0.643,15.8,13,252.16,31.97,6610692.66,78.74
2024-03-19,Australia,Port Kembla,Visakhapatnam,Thermal Coal,68513,Panamax,72921,4141,16.5,703.36,0.565,0.103,52.4,35,65.14,30.93,2119107.09,65.3
2024-03-19,South Africa,Richards Bay,Kamarajar,Fertilizer,228498,VLOC,282555,5509,22.5,567.79,0.531,0.099,43.0,14,249.93,33.13,7570138.74,95.67
2024-03-19,Australia,Newcastle,Paradip,Bauxite,156238,VLOC,265426,4138,15.3,480.94,0.71,0.131,44.7,21,62.24,27.24,4255923.12,75.95
2024-03-19,Colombia,Cartagena,Kakinada,Fertilizer,272219,Small Handy,12737,9412,35.8,630.77,0.385,0.112,35.6,15,287.64,40.38,10992203.22,93.64
2024-03-19,Indonesia,Tanjung Bara,Kakinada,Rock Phosphate,289245,VLOC,216274,3022,12.3,781.01,0.318,0.179,17.4,17,126.27,28.81,8333148.45,110.64
2024-03-19,USA,Hampton Roads,Dhamra,Nickel Ore,227442,Supramax,62219,9549,33.0,678.16,0.225,0.141,36.8,26,52.23,38.19,8686009.98,102.1
2024-03-19,Brazil,Tubarão,Dhamra,Manganese Ore,62035,Kamsarmax,81513,8453,29.8,591.99,0.565,0.306,74.1,4,215.96,41.28,2560804.8,44.35
2024-03-19,Mozambique,Beira,Dhamra,Iron Ore,151673,Handymax,41412,4788,17.4,570.59,0.427,0.688,15.9,9,109.87,35.97,5455677.81,72.68
2024-03-20,Australia,Hay Point,Kakinada,Wheat,188137,Kamsarmax,77598,4176,15.2,459.97,0.508,0.13,54.6,16,209.63,30.31,5702432.47,86.35
2024-03-20,Australia,Gladstone,Kamarajar,Alumina,213643,Handysize,35470,4335,17.7,607.18,0.563,0.639,54.2,6,314.66,33.43,7142085.49,78.69
2024-03-20,Indonesia,Balikpapan,Visakhapatnam,Bauxite,283393,Handymax,41449,3047,11.5,549.71,0.269,0.58,21.3,15,72.58,29.3,8303414.9,112.15
2024-03-20,Indonesia,Balikpapan,Krishnapatnam,Rock Phosphate,25436,Handymax,49282,3126,11.7,479.81,0.348,0.379,42.9,27,174.28,30.25,769439.0,50.87
2024-03-20,Russia,Vostochny,Visakhapatnam,Gypsum,25005,Panamax,77394,3707,13.9,559.43,0.455,0.172,15.9,1,27.57,29.93,748399.65,32.01
2024-03-20,Canada,Vancouver,Dhamra,Sugar,295646,Post-Panamax,97386,9815,35.1,772.87,0.327,0.247,41.6,12,568.68,42.06,12434870.76,106.13
2024-03-20,Australia,Gladstone,Paradip,Iron Ore,96237,Supramax,63906,3934,16.7,539.83,0.465,0.681,39.4,14,117.72,30.13,2899620.81,51.67
2024-03-20,Australia,Port Hedland,Kamarajar,Alumina,247492,Kamsarmax,84149,4803,20.2,472.98,0.488,0.7,59.8,34,343.57,32.8,8117737.6,111.98
2024-03-20,Russia,Vostochny,Paradip,Corn,235761,Newcastlemax,197018,3602,13.5,676.62,0.531,0.457,31.1,40,201.64,31.18,7351027.98,116.15
2024-03-20,Russia,Vostochny,Gangavaram,Manganese Ore,222904,Small Handy,15500,3592,15.8,773.49,0.098,0.611,19.8,14,169.66,28.89,6439696.56,90.65
2024-03-20,Russia,Vostochny,Visakhapatnam,Wheat,269272,VLOC,384652,3587,14.5,789.24,0.564,0.418,49.7,40,278.16,29.85,8037769.2,115.76
2024-03-20,Indonesia,Taboneo,Paradip,Iron Ore Pellets,271422,VLOC,390078,2788,11.7,711.72,0.255,0.262,27.5,21,155.56,28.01,7602530.22,105.22
2024-03-20,Australia,Hay Point,Krishnapatnam,Gypsum,258028,VLOC,265565,4536,19.1,597.31,0.487,0.227,24.6,9,36.67,29.34,7570541.52,92.36
2024-03-20,Australia,Dalrymple Bay,Visakhapatnam,Limestone,59379,Small Handy,18232,4077,16.2,506.23,0.579,0.122,43.4,16,26.32,27.59,1638266.61,52.03
2024-03-21,Brazil,Itaguai,Kamarajar,Bauxite,72784,Capesize,176691,8952,31.8,727.56,0.549,0.448,84.0,30,66.5,43.29,3150819.36,56.2
2024-03-21,Brazil,Itaguai,Paradip,Sugar,191533,Ultramax,64331,8224,29.0,477.56,0.543,0.317,54.7,17,531.29,38.28,7331883.24,79.02
2024-03-21,USA,New Orleans,Kamarajar,Nickel Ore,235038,Kamsarmax,80190,9291,36.4,712.25,0.525,0.579,59.9,23,72.27,42.06,9885698.28,93.29
2024-03-21,Australia,Gladstone,Krishnapatnam,Alumina,283470,Panamax,66350,4229,15.2,504.73,0.393,0.442,37.5,23,302.41,29.38,8328348.6,115.99
2024-03-21,Indonesia,Balikpapan,Paradip,Iron Ore,78948,VLOC,240176,2585,9.3,580.59,0.443,0.136,67.7,24,105.75,26.16,2065279.68,57.95
2024-03-21,Brazil,Itaguai,Krishnapatnam,Bauxite,232107,Kamsarmax,75341,8647,30.2,559.98,0.207,0.483,37.1,12,52.3,35.03,8130708.21,98.48
2024-03-21,USA,Houston,Paradip,Coking Coal,191000,Panamax,65325,9137,31.5,777.68,0.402,0.237,47.3,35,173.98,41.07,7844370.0,100.17
2024-03-21,Australia,Port Kembla,Kakinada,Fertilizer,189460,Handymax,56489,4479,17.1,765.01,0.348,0.139,26.6,7,349.28,34.54,6543948.4,72.98
2024-03-21,Canada,Prince Rupert,Gangavaram,Limestone,126148,Supramax,62470,9760,32.6,799.02,0.353,0.204,42.4,9,32.39,43.24,5454639.52,57.12
2024-03-21,Canada,Prince Rupert,Chennai,Sugar,291972,Capesize,179760,10067,31.6,645.37,0.553,0.051,63.8,23,359.84,40.32,11772311.04,117.22
2024-03-21,Brazil,Santos,Gangavaram,Bauxite,291715,Newcastlemax,204940,8276,29.0,618.71,0.553,0.205,27.1,31,47.9,36.81,10738029.15,122.16
2024-03-21,Australia,Port Kembla,Chennai,Sugar,71374,Newcastlemax,204141,4851,15.2,612.08,0.865,0.351,79.6,6,358.04,36.06,2573746.44,43.99
2024-03-21,South Africa,Richards Bay,Gangavaram,Alumina,190133,Kamsarmax,80363,5230,20.8,558.3,0.271,0.39,33.3,24,209.05,30.43,5785747.19,92.24
2024-03-22,Brazil,Tubarão,Gangavaram,Gypsum,214940,Post-Panamax,88096,8891,31.9,622.39,0.54,0.288,31.5,34,22.93,39.12,8408452.8,91.23
2024-03-22,Australia,Dalrymple Bay,Kamarajar,Alumina,124186,Post-Panamax,93119,4630,16.2,638.74,0.687,0.566,64.9,24,251.71,34.78,4319189.08,64.58
2024-03-22,Indonesia,Balikpapan,Gangavaram,Nickel Ore,250651,VLOC,340405,2987,11.7,474.62,0.572,0.624,58.0,17,60.38,30.93,7752635.43,87.06
2024-03-22,Indonesia,Balikpapan,Dhamra,Petcoke,285772,Post-Panamax,94626,2934,10.7,541.32,0.426,0.634,31.0,31,117.14,27.67,7907311.24,115.36
2024-03-22,South Africa,Saldanha Bay,Chennai,Bauxite,132611,Ultramax,62252,5875,21.3,626.01,0.536,0.231,49.2,23,62.13,35.92,4763387.12,73.68
2024-03-22,Russia,Vostochny,Paradip,Nickel Ore,47919,Newcastlemax,201109,3633,11.5,479.65,0.631,0.571,71.9,30,45.95,31.94,1530532.86,60.2
2024-03-22,USA,New Orleans,Kakinada,Iron Ore Pellets,72183,Ultramax,61732,9265,32.0,722.81,0.394,0.442,40.2,7,136.53,42.7,3082214.1,40.12
2024-03-22,Russia,Vostochny,Gangavaram,Rock Phosphate,259809,Handymax,52779,3723,13.6,467.35,0.521,0.278,43.2,29,105.05,29.22,7591618.98,99.92
2024-03-22,USA,Hampton Roads,Kakinada,Manganese Ore,111511,Small Handy,25754,9921,40.0,515.74,0.644,0.589,53.4,19,216.55,44.25,4934361.75,50.93
2024-03-22,Australia,Gladstone,Gangavaram,Corn,34449,Capesize,129798,4121,12.9,527.25,0.358,0.669,27.6,13,176.26,30.07,1035881.43,44.43
2024-03-22,Australia,Newcastle,Chennai,Wheat,264401,Small Handy,22588,4593,19.5,631.93,0.765,0.541,60.0,12,279.81,37.3,9862157.3,92.36
2024-03-22,Indonesia,Taboneo,Kakinada,Wheat,243350,Handymax,56444,3258,11.8,492.29,0.489,0.174,6.6,5,293.89,30.23,7356470.5,81.12
2024-03-22,Canada,Quebec,Paradip,Rock Phosphate,47945,VLOC,289206,10532,41.3,781.76,0.509,0.31,43.7,15,151.22,43.74,2097114.3,36.57
2024-03-22,Australia,Hay Point,Dhamra,Petcoke,36329,Post-Panamax,97922,3918,14.9,624.72,0.51,0.092,48.6,12,130.6,29.75,1080787.75,38.09
2024-03-22,Mozambique,Maputo,Paradip,Thermal Coal,257906,Handymax,41167,5085,19.4,476.57,0.195,0.19,19.6,3,85.64,27.67,7136259.02,105.14
2024-03-23,USA,Houston,Kakinada,Soybean,226482,Kamsarmax,75469,9603,33.2,482.66,0.257,0.526,20.5,1,375.65,38.17,8644817.94,81.5
2024-03-23,Vietnam,Vung Tau,Dhamra,Iron Ore,291589,VLOC,213468,2376,8.3,771.57,0.471,0.606,61.4,17,122.44,29.6,8631034.4,120.12
2024-03-23,Australia,Port Kembla,Kakinada,Gypsum,222128,Small Handy,18419,4308,16.3,609.71,0.425,0.281,40.7,27,32.97,32.65,7252479.2,111.48
2024-03-23,Australia,Newcastle,Gangavaram,Coking Coal,210900,Post-Panamax,96448,4299,16.6,628.52,0.457,0.223,66.2,20,124.11,28.88,6090792.0,85.28
2024-03-23,Colombia,Puerto Bolivar,Krishnapatnam,Wheat,136700,Handysize,22160,9372,38.6,588.51,0.442,0.641,33.3,28,282.81,44.71,6111857.0,72.44
2024-03-23,Brazil,Tubarão,Chennai,Corn,76093,Post-Panamax,87891,8918,34.2,484.82,0.779,0.484,59.7,32,180.19,41.52,3159381.36,58.04
2024-03-23,Canada,Vancouver,Chennai,Iron Ore Pellets,207141,Capesize,126388,10135,32.1,736.64,0.529,0.476,43.9,12,125.8,45.22,9366916.02,70.7
2024-03-24,Australia,Port Kembla,Kakinada,Petcoke,223337,Capesize,175114,4426,16.4,730.63,0.361,0.572,39.7,3,139.57,30.42,6793911.54,77.56
2024-03-24,Vietnam,Cam Pha,Kakinada,Iron Ore Pellets,220924,Kamsarmax,82279,2600,9.0,558.92,0.455,0.319,63.0,21,156.61,27.88,6159361.12,102.5
2024-03-24,Indonesia,Tanjung Bara,Gangavaram,Limestone,92892,Post-Panamax,89423,2963,11.9,549.17,0.23,0.125,25.5,24,36.93,28.29,2627914.68,66.53
2024-03-24,Colombia,Cartagena,Krishnapatnam,Nickel Ore,39659,Small Handy,19155,9484,36.6,729.24,0.437,0.674,61.3,2,77.27,44.94,1782275.46,30.92
2024-03-24,Australia,Newcastle,Chennai,Corn,296675,Supramax,53923,4551,18.9,619.04,0.347,0.693,23.3,40,197.77,34.81,10327256.75,135.22
2024-03-24,Brazil,Santos,Kakinada,Soybean,222750,Panamax,81372,8516,29.0,616.76,0.262,0.734,25.3,31,375.67,39.88,8883270.0,110.46
2024-03-24,Indonesia,Tanjung Bara,Visakhapatnam,Limestone,31951,Ultramax,64284,2859,11.5,798.56,0.595,0.204,55.1,12,27.18,30.96,989202.96,37.26
2024-03-24,Mozambique,Maputo,Chennai,Gypsum,25765,Supramax,60681,5397,18.5,724.54,0.829,0.194,77.0,34,42.55,38.22,984738.3,53.35
2024-03-24,South Africa,Saldanha Bay,Kamarajar,Manganese Ore,251460,Small Handy,15562,5869,24.2,516.16,0.587,0.434,59.0,36,212.28,35.85,9014841.0,113.82
2024-03-24,Australia,Gladstone,Paradip,Corn,226489,Post-Panamax,95127,3793,16.1,728.36,0.419,0.116,26.8,20,176.53,29.84,6758431.76,96.47
2024-03-24,Australia,Hay Point,Dhamra,Fertilizer,252830,Handysize,38241,4120,16.8,729.22,0.146,0.226,29.3,9,306.95,32.55,8229616.5,89.31
2024-03-24,South Africa,Saldanha Bay,Gangavaram,Nickel Ore,268332,Handymax,47062,5500,20.4,657.45,0.434,0.464,65.6,28,74.02,32.99,8852272.68,111.63
2024-03-25,Colombia,Cartagena,Chennai,Iron Ore,249448,Ultramax,63130,9585,35.2,575.33,0.527,0.602,63.2,15,91.21,42.12,10506749.76,104.01
2024-03-25,Russia,Nakhodka,Gangavaram,Alumina,233791,VLOC,324025,3475,13.1,618.84,0.346,0.414,14.8,35,300.36,27.84,6508741.44,115.82
2024-03-25,Mozambique,Maputo,Chennai,Coking Coal,157940,Newcastlemax,200750,5230,16.7,733.97,0.709,0.209,73.4,17,159.33,33.88,5351007.2,76.54
2024-03-25,Australia,Newcastle,Krishnapatnam,Bauxite,250916,Supramax,61778,4263,14.5,726.36,0.437,0.236,48.1,29,56.52,31.38,7873744.08,104.82
2024-03-25,Australia,Port Kembla,Kakinada,Soybean,156959,Ultramax,60485,4499,16.3,577.47,0.702,0.133,73.7,37,453.9,35.27,5535943.93,93.23
2024-03-25,Russia,Vostochny,Krishnapatnam,Iron Ore,241164,Supramax,55081,3931,14.3,554.46,0.581,0.087,44.5,7,132.83,31.23,7531551.72,89.52
2024-03-25,Indonesia,Taboneo,Gangavaram,Soybean,106639,Newcastlemax,185815,3043,11.0,654.32,0.564,0.062,72.0,12,390.81,30.86,3290879.54,68.64
2024-03-25,Australia,Port Kembla,Kakinada,Iron Ore,277827,VLOC,315247,4608,16.9,765.42,0.139,0.063,14.5,29,120.54,29.32,8145887.64,118.82
2024-03-25,Australia,Newcastle,Visakhapatnam,Petcoke,28322,Capesize,137075,4454,16.0,575.4,0.776,0.598,58.6,29,111.14,34.54,978241.88,39.24
2024-03-25,USA,New Orleans,Krishnapatnam,Limestone,13160,Newcastlemax,204618,9554,33.1,754.06,0.38,0.594,32.9,23,48.31,43.99,578908.4,43.22
2024-03-25,South Africa,Durban,Kakinada,Corn,184751,Panamax,65599,5597,22.2,536.27,0.44,0.232,49.8,15,224.36,28.47,5259860.97,88.5
2024-03-25,Russia,Vostochny,Krishnapatnam,Soybean,105046,Panamax,73695,3949,13.6,483.99,0.302,0.433,47.6,34,484.3,27.82,2922379.72,78.4
2024-03-25,Indonesia,Balikpapan,Kamarajar,Limestone,125838,Handymax,58698,3070,12.1,512.03,0.523,0.613,56.2,12,45.56,27.92,3513396.96,61.87
2024-03-25,Brazil,Santos,Chennai,Petcoke,193962,Post-Panamax,97002,8978,30.6,484.3,0.551,0.255,34.4,40,127.74,39.22,7607189.64,105.64
2024-03-26,Brazil,Itaguai,Krishnapatnam,Fertilizer,161094,Ultramax,69318,8889,35.8,675.36,0.574,0.7,56.1,17,308.46,41.44,6675735.36,71.77
2024-03-26,Canada,Vancouver,Dhamra,Bauxite,244741,Post-Panamax,98385,9977,36.7,667.47,0.327,0.592,29.1,39,63.46,39.77,9733349.57,113.07
2024-03-26,Mozambique,Maputo,Paradip,Gypsum,172980,Supramax,60381,4696,17.6,680.8,0.537,0.531,52.0,12,31.92,39.5,6832710.0,63.02
2024-03-26,Vietnam,Vung Tau,Paradip,Soybean,282977,Panamax,68937,1995,8.3,743.41,0.416,0.141,39.9,10,399.4,32.94,9321262.38,102.15
2024-03-27,Mozambique,Beira,Gangavaram,Corn,31450,VLOC,286612,4963,17.4,663.92,0.257,0.706,14.8,11,209.69,29.53,928718.5,49.36
2024-03-27,Australia,Dalrymple Bay,Krishnapatnam,Corn,169856,Handysize,29055,4306,17.8,532.21,0.415,0.234,32.7,4,224.82,31.16,5292712.96,64.76
2024-03-27,Indonesia,Tanjung Bara,Gangavaram,Thermal Coal,182380,VLOC,240400,2899,9.9,762.97,0.274,0.057,23.4,38,93.89,29.09,5305434.2,103.67
2024-03-27,Vietnam,Cam Pha,Gangavaram,Limestone,216347,Small Handy,14479,2369,9.8,600.32,0.446,0.722,38.6,27,34.95,32.14,6953392.58,98.55
2024-03-27,Australia,Dalrymple Bay,Dhamra,Rock Phosphate,80228,Handymax,57360,3828,13.9,624.36,0.286,0.403,43.7,5,109.31,29.51,2367528.28,52.48
2024-03-27,Mozambique,Beira,Visakhapatnam,Soybean,266443,Small Handy,15945,4761,20.3,630.44,0.369,0.518,40.7,23,401.82,32.71,8715350.53,110.1
2024-03-27,USA,New Orleans,Paradip,Rock Phosphate,50317,VLOC,241019,9048,34.8,712.64,0.49,0.399,49.7,21,140.37,39.61,1993056.37,48.05
2024-03-28,Russia,Nakhodka,Krishnapatnam,Gypsum,188853,Panamax,76174,3761,15.4,635.01,0.475,0.319,51.1,31,24.25,32.22,6084843.66,95.91
2024-03-28,Brazil,Itaguai,Gangavaram,Thermal Coal,83052,Ultramax,62245,8502,31.6,642.1,0.458,0.314,56.1,8,79.43,36.69,3047177.88,49.45
2024-03-28,Australia,Port Kembla,Krishnapatnam,Sugar,86117,VLOC,255672,4523,18.2,675.74,0.434,0.58,35.5,35,526.74,34.81,2997732.77,72.95
2024-03-28,Canada,Vancouver,Paradip,Corn,179907,Capesize,179486,9663,31.5,742.99,0.235,0.13,29.5,6,178.07,40.32,7253850.24,71.64
2024-03-28,USA,Houston,Gangavaram,Limestone,190020,Kamsarmax,75656,9052,33.1,530.88,0.568,0.319,69.8,12,28.4,39.07,7424081.4,80.51
2024-03-28,Russia,Vostochny,Paradip,Sugar,107868,Ultramax,65212,3443,14.0,619.85,0.405,0.512,40.3,29,388.31,31.1,3354694.8,77.95
2024-03-28,Brazil,Santos,Visakhapatnam,Coking Coal,102792,Kamsarmax,78916,8678,34.3,513.93,0.281,0.051,4.0,13,128.74,36.44,3745740.48,59.03
2024-03-28,Mozambique,Maputo,Kakinada,Iron Ore Pellets,220435,Panamax,66899,5027,21.0,763.55,0.273,0.224,35.5,10,152.76,32.16,7089189.6,96.74
2024-03-28,Colombia,Cartagena,Kamarajar,Thermal Coal,166435,Post-Panamax,98169,9653,35.7,494.66,0.464,0.213,51.6,7,108.9,37.27,6203032.45,70.95
2024-03-28,Brazil,Tubarão,Paradip,Petcoke,96167,Handymax,51473,8510,32.8,501.49,0.296,0.478,26.7,31,93.3,36.17,3478360.39,75.09
2024-03-28,Brazil,Tubarão,Paradip,Thermal Coal,100256,Panamax,83398,8150,30.7,682.74,0.273,0.674,37.5,20,79.02,37.74,3783661.44,59.64
2024-03-28,USA,Houston,Kakinada,Limestone,126469,Ultramax,67419,9454,32.0,749.39,0.154,0.547,20.8,29,42.44,43.04,5443225.76,68.59
2024-03-28,Canada,Vancouver,Dhamra,Iron Ore Pellets,299520,Handysize,20600,10030,41.3,774.78,0.419,0.291,20.4,23,152.6,44.04,13190860.8,117.01
2024-03-28,Mozambique,Beira,Dhamra,Gypsum,58889,Handymax,58493,4626,19.2,598.38,0.508,0.173,78.7,14,23.74,30.84,1816136.76,52.05
2024-03-28,Australia,Newcastle,Chennai,Iron Ore,243182,Supramax,59159,4478,18.7,551.64,0.585,0.387,74.5,40,132.46,33.39,8119846.98,116.04
2024-03-29,Brazil,Santos,Kakinada,Petcoke,235536,Ultramax,67940,8593,31.1,700.73,0.612,0.224,67.1,1,97.69,41.92,9873669.12,81.2
